id,name,cpu,gpu,ram,storage,psu,cabinet,price (INR)
1,Business Workstation,Intel Xeon W-3345,NVIDIA RTX A6000,128GB DDR4 ECC,4TB NVMe SSD,1200W,Corsair 4000D Airflow Mid-Tower,950000
2,Business Workstation,AMD EPYC 7763,NVIDIA RTX 4090,128GB DDR4 ECC,4TB NVMe SSD,1200W,Phanteks Eclipse P500A Mid-Tower,900000
3,Business Workstation,Intel Core i9-13900K,NVIDIA RTX A5000,128GB DDR5,2TB NVMe SSD,1000W,Ant Esports ICE-300 Mesh Mid-Tower,700000
4,Business Workstation,AMD Ryzen 9 7950X,NVIDIA RTX A4500,128GB DDR5,2TB NVMe SSD,1000W,Zebronics Zium Mid-Tower,680000
5,Business Workstation,Intel Xeon W-2245,NVIDIA RTX A4000,64GB DDR4 ECC,2TB NVMe SSD,850W,Cooler Master MasterBox TD500 Mesh,500000
6,Financial Trading PC,Intel Core i9-13900,NVIDIA RTX 4080,64GB DDR5,2TB NVMe SSD,1000W,Lian Li Lancool II Mesh RGB,550000
7,Financial Trading PC,AMD EPYC 7643,NVIDIA RTX 4070 Ti,128GB DDR4 ECC,4TB NVMe SSD,1200W,Deepcool MACUBE 310 Mid-Tower,800000
8,Financial Trading PC,Intel Xeon W-3275,NVIDIA RTX A5500,128GB DDR4 ECC,2TB NVMe SSD,1000W,Phanteks Enthoo Pro Full Tower,870000
9,Financial Trading PC,AMD Threadripper 3970X,NVIDIA RTX A4000,128GB DDR4 ECC,4TB NVMe SSD,1000W,Corsair 7000D Airflow Full Tower,780000
10,Financial Trading PC,Intel Core i9-13700KF,NVIDIA RTX A4000,64GB DDR5,2TB NVMe SSD,850W,Antec DF700 Flux Mid-Tower,500000
11,Server & Home Lab PC,Intel Xeon W-1250P,NVIDIA RTX 4060,32GB DDR4 ECC,1TB NVMe SSD,650W,Thermaltake Core P3 Open-Frame,300000
12,Server & Home Lab PC,AMD Ryzen 7 7700,NVIDIA RTX 4050,32GB DDR5,1TB NVMe SSD,650W,Lian Li PC-O11 Dynamic Mid-Tower,200000
13,Server & Home Lab PC,Intel Core i5-12600K,NVIDIA RTX 4060,32GB DDR5,1TB NVMe SSD,600W,Deepcool CK560 Mid-Tower,180000
14,Server & Home Lab PC,AMD Ryzen 5 7600X,NVIDIA RTX 4060 Ti,32GB DDR5,2TB NVMe SSD,650W,Ant Esports ICE-511MT Mid Tower,220000
15,Server & Home Lab PC,Intel Core i3-13100F,NVIDIA RTX 3050,16GB DDR4,1TB NVMe SSD,500W,Cooler Master MasterBox MB511 ARGB,120000
16,Medical & Scientific Computing PC,AMD Threadripper PRO 5995WX,NVIDIA RTX 4090,128GB DDR4 ECC,8TB NVMe SSD,1500W,Phanteks Evolv X Full Tower,1200000
17,Medical & Scientific Computing PC,Intel Xeon W-3375,NVIDIA RTX A5000,128GB DDR4 ECC,4TB NVMe SSD,1200W,NZXT H7 Flow Mid-Tower,970000
18,Medical & Scientific Computing PC,AMD EPYC 7443P,NVIDIA RTX 4080,128GB DDR4 ECC,4TB NVMe SSD,1200W,Corsair iCUE 5000T RGB Mid-Tower,880000
19,Medical & Scientific Computing PC,Intel Core i7-13700K,NVIDIA RTX A4000,64GB DDR5,2TB NVMe SSD,850W,Antec P120 Crystal Full Tower,540000
20,Medical & Scientific Computing PC,AMD Ryzen 9 7900X3D,NVIDIA RTX A4500,64GB DDR5,2TB NVMe SSD,1000W,Lian Li O11D Mini Mid-Tower,610000
21,Medical & Scientific Computing PC,Intel Xeon E-2388G,NVIDIA RTX 3090,64GB DDR4 ECC,2TB NVMe SSD,1000W,Fractal Design Define R6 Mid-Tower,500000
22,Medical & Scientific Computing PC,AMD Threadripper 3955WX,NVIDIA RTX A4000,128GB DDR4 ECC,4TB NVMe SSD,1000W,Phanteks Eclipse P360A Mid-Tower,730000
23,Medical & Scientific Computing PC,Intel Xeon W-1250,NVIDIA RTX 3050,32GB DDR4 ECC,1TB NVMe SSD,650W,NZXT H210 Mini-ITX,170000
24,Medical & Scientific Computing PC,AMD EPYC 7513,NVIDIA RTX 3090,128GB DDR4 ECC,4TB NVMe SSD,1000W,Thermaltake Level 20 MT ARGB Mid-Tower,850000
25,Medical & Scientific Computing PC,Intel Xeon W-3335,NVIDIA RTX A6000,128GB DDR4 ECC,4TB NVMe SSD,1200W,Corsair iCUE 7000X RGB Full Tower,980000
