id,name,cpu,gpu,ram,storage,psu,cabinet,price (INR)
1,Video Editing Workstation,Intel Core i9-13900K,NVIDIA RTX 4090,128GB DDR5,4TB NVMe SSD,1200W,Corsair 4000D Airflow,900000
2,Video Editing Workstation,AMD Ryzen 9 7950X,NVIDIA RTX 4080,128GB DDR5,4TB NVMe SSD,1200W,Lian Li PC-O11 Dynamic,850000
3,Video Editing Workstation,Intel Core i7-13700K,NVIDIA RTX 4070 Ti,64GB DDR5,2TB NVMe SSD,1000W,NZXT H510 Elite,650000
4,Video Editing Workstation,AMD Ryzen 7 7800X3D,NVIDIA RTX 4070,64GB DDR5,2TB NVMe SSD,850W,Cooler Master NR200P,580000
5,Video Editing Workstation,Intel Core i9-12900K,NVIDIA RTX 3090,64GB DDR5,2TB NVMe SSD,1000W,Thermaltake View 71 TG,700000
6,3D Rendering & Animation PC,AMD Threadripper 3990X,NVIDIA RTX A6000,128GB DDR4 ECC,8TB NVMe SSD,1500W,Corsair 1000D Super Tower,1400000
7,3D Rendering & Animation PC,Intel Xeon W-3365,NVIDIA RTX A5000,128GB DDR4 ECC,4TB NVMe SSD,1200W,Phanteks Evolv X,950000
8,3D Rendering & Animation PC,AMD Ryzen 9 5950X,NVIDIA RTX 4080,128GB DDR5,4TB NVMe SSD,1200W,Fractal Design Meshify 2 XL,920000
9,3D Rendering & Animation PC,Intel Core i9-13900KF,NVIDIA RTX 4090,128GB DDR5,4TB NVMe SSD,1200W,Lian Li LANCOOL III,1000000
10,3D Rendering & Animation PC,AMD Ryzen 7 7700X,NVIDIA RTX 4070 Ti,64GB DDR5,2TB NVMe SSD,850W,Antec P120 Crystal,600000
11,CAD & Engineering Workstation,Intel Xeon W-2265,NVIDIA RTX A5500,128GB DDR4 ECC,4TB NVMe SSD,1200W,Thermaltake Tower 900,890000
12,CAD & Engineering Workstation,AMD Threadripper PRO 5995WX,NVIDIA RTX 4090,128GB DDR4 ECC,8TB NVMe SSD,1500W,Corsair 1000D,1300000
13,CAD & Engineering Workstation,Intel Core i9-13700K,NVIDIA RTX A4500,64GB DDR5,2TB NVMe SSD,1000W,Lian Li O11D Mini,670000
14,CAD & Engineering Workstation,AMD Ryzen 9 7900X,NVIDIA RTX 4080,64GB DDR5,2TB NVMe SSD,1000W,NZXT H7 Flow,720000
15,CAD & Engineering Workstation,Intel Core i7-12700K,NVIDIA RTX A4000,64GB DDR5,2TB NVMe SSD,850W,Corsair iCUE 5000T,580000
16,Music Production Workstation,Intel Core i5-13600K,NVIDIA RTX 4060,32GB DDR5,1TB NVMe SSD,650W,NZXT H440,280000
17,Music Production Workstation,AMD Ryzen 7 7700,NVIDIA RTX 4050,32GB DDR5,1TB NVMe SSD,650W,Fractal Design North,250000
18,Music Production Workstation,Intel Core i3-13100F,NVIDIA RTX 3050,16GB DDR4,1TB NVMe SSD,500W,Cooler Master MasterBox MB511,180000
19,Music Production Workstation,AMD Ryzen 5 7600X,NVIDIA RTX 4060 Ti,32GB DDR5,2TB NVMe SSD,650W,Deepcool CK560,320000
20,Music Production Workstation,Intel Xeon W-1250,NVIDIA RTX 3060,32GB DDR4 ECC,1TB NVMe SSD,600W,Thermaltake Level 20 MT,340000
21,AI & Machine Learning Workstation,AMD EPYC 7742,NVIDIA A100 80GB,256GB DDR4 ECC,8TB NVMe SSD,1600W,Corsair Obsidian 1000D,2000000
22,AI & Machine Learning Workstation,Intel Xeon Platinum 8268,NVIDIA RTX 6000 Ada,256GB DDR4 ECC,8TB NVMe SSD,1500W,Thermaltake Core W200,1800000
23,AI & Machine Learning Workstation,AMD Threadripper PRO 5975WX,NVIDIA RTX A6000,128GB DDR4 ECC,8TB NVMe SSD,1500W,Lian Li PC-O11 Dynamic XL,1600000
24,Software Development Workstation,Intel Core i9-12900K,NVIDIA RTX 3070 Ti,64GB DDR5,2TB NVMe SSD,850W,Fractal Design Define 7,600000
25,Software Development Workstation,AMD Ryzen 9 7950X,NVIDIA RTX 3080,64GB DDR5,2TB NVMe SSD,850W,Lian Li O11 Air Mini,580000
26,Software Development Workstation,Intel Core i7-13700K,NVIDIA RTX 4060,32GB DDR5,1TB NVMe SSD,750W,Cooler Master HAF 700 EVO,480000
27,Software Development Workstation,AMD Ryzen 7 7700X,NVIDIA RTX 4060 Ti,32GB DDR5,1TB NVMe SSD,750W,Phanteks Eclipse P500A,450000
28,Software Development Workstation,Intel Core i5-13600K,NVIDIA RTX 3050,32GB DDR5,1TB NVMe SSD,650W,Fractal Design Define 7 Compact,400000
29,Video Editing Workstation,AMD Ryzen 9 5900X,NVIDIA RTX 4060,64GB DDR4,2TB NVMe SSD,750W,Corsair Carbide 678C,560000
30,3D Rendering & Animation PC,Intel Xeon W-3175X,NVIDIA RTX 3090,128GB DDR4,4TB NVMe SSD,1200W,Phanteks Enthoo Elite,970000
31,CAD & Engineering Workstation,AMD Threadripper 3960X,NVIDIA RTX A4000,128GB DDR4,4TB NVMe SSD,1200W,Lian Li PC-V3000 Plus,880000
32,Music Production Workstation,Intel Core i7-12700K,NVIDIA RTX 3070,32GB DDR5,1TB NVMe SSD,700W,Corsair 5000D Airflow,450000

